index,review_title,rating
0,Exceptional,10
1,I highly recommend this b&b! We enjoyed it a lot!,9
2,Exceptional,10
3,My stay in the house was a experiencing bliss in luxury. The house is sheer touch of beauty wrapped,10
4,"One bedroom apartment with wonderful view and free, secure parking, but not close enough  to the main beach area.",9.2
5,Fantastic! Beautiful home with a gracious welcoming hostess,10
6,"everything perfect, great bath in the room!",10
7,Very good,8.3
8,Superb,9.2
9,highly recommended,10
10,Super romantic venue in a cosy town.,10
11,Exceptional,10
12,Good,7.5
13,Very good,8
14,Superb,9
15,Exceptional,10
16,Excellent,9.6
17,Exceptional,10
18,Lovely break in a lovely area. Car absolutely required.,10
19,Christmas stay,9
20,Excellent.,9
21,Great location!,8
22,Exceptional,10
23,Tranquil Residence in the Middle Of the Town,10
24,Amazing beautiful place! I would definitely recommend this place:),10
25,Fabulous,8.8
26,Superb,9.2
27,Perfect accomodation,10
28,Good location to explore the city,8
29,Exceptional,10
30,It was a stay never to forget!,10
31,Very close to the gare. A nice romatic getaway,10
32,Exceptional,10
33,Definitely the place to stay in Gent,9
34,"Excellent hotel, we only had an overnight stay so didn’t use any of the extra facilities",7.9
35,Nice and warm B&B,9.6
36,Good,7
37,Very good,8
38,My first choice on our next stay in Kortrijk.,10
39,Good,7.1
40,Cosy apartment in city centre,9
41,Exceptional,10
42,Very good,8
43,Very good,8
44,Good,7.5
45,"Very nice stay , beautifully room, nice view in the way up to the accommodation.",8
46,"Out of season and quiet, a pleasant break on the Belgian coast.",9.2
47,Exceptional,10
48,Well placed and friendly hotel,9
49,Superb,9
50,The place to be when you're in Kortrijk!!!,10
51,Pleasant one night stopover on way to Germany.,9.2
52,Superb cosy apartment in the very heart of town!,9
53,"Great place, in a lovely location",8
54,I enjoyed the time I was here and I definitely recommend this place.,10
55,Burning wood to keep the place warm (although there are more than enough electric heaters) gave the place an awsome atmosphere.,
56,Fab place,9.6
57,Typical Conference Hotel close to Brussels Noord - all you need / not very individual,8
58,Excellent stay,10
59,Very good,8.3
60,Very good,8
61,Good,7.1
62,Highly recommended. Tastefully furnished. Great hosts,10
63,Very tastefully furnished,
64,Great Breakfast,
65,Perfect location,
66,Superb,9
67,Excellent cozy B&B in great location,10
68,Exceptional,10
69,Good,7.1
70,Excellent stay and we would definitely come back,9.6
71,One word: A-MA-ZING!,10
72,Superb,9
73,Exceptional,10
74,Close to metro station,9
75,"Astoria really exceed my expectations, great attention to details!",10
76,Attention to details,
77,Staff,
78,Good,7.9
79,A nice vacation,10
80,Exceptional,10
81,Exceptional,9.6
82,Better Novotel then most.,9
83,Exceptional,10
84,Great welcome,10
85,Very good,8.3
86,Exceptional,9.6
87,"Overall, it was rather expensive compared with the value (100 EUR/night).",6
88,Superb,9.2
89,Great choice for a short visit to Brussels. Would recommend.,7.9
90,Fabulous,8.8
91,So satisfied! See you very soon.,10
92,Very good,8.3
93,Highly recommended!,10
94,"Superb location, 3 star hotel.",6
95,Amazing B&B in Aalst,10
96,Good hotel,9
97,Excellent stay,10
98,Fabulous stylish and spacious accommodation. Warm and friendly,9.2
99,Excellent Restaurant!,9.2
100,Pleasant,6
101,A Fantastic place in city center close to everything supermarkets train station pharmacy etc,10
102,Exceptional,10
103,Enjoyable place right in the city centre.,9
104,Superb,9
105,Good,7.1
106,Exceptional,9.6
107,"Superb rooms, very friendly owners......",10
108,Good,7.5
109,By far the best accommodation in Brussels,10
110,Exceptional,9.6
111,Good,7.5
112,Good place for calm stay,10
113,Fantastic weekend,10
114,Perfect property for a comfortable stay.,9.6
115,Superb,9.2
116,"Great hotel, would love to go again.",9
117,Family style house with room availability,7.1
118,Great stay in Blankenberge,9.6
119,Exceptional,10
120,Superb,9
121,"I liked it here, everything worked",9
122,Just perfect,10
123,This part of Belgium (Wallonia) tends to be French-speaking only. Communication can be difficult.,8.8
124,Exceptional,10
125,Superb,9
126,Good,7
127,Superb,9.2
128,Very good,8
129,"Take ear plugs, good book and camping utensils!",6.7
130,"the sad impression to be at work, in a place like everywhere else",5
131,Very good,8
132,Conference stay in beautiful Ghent,9
133,Great father-son getaway in Brussels,9.2
134,Marvellous stay !,10
135,Good,7.1
136,Perfect location,10
137,Exceptional,10
138,Stylish but high maintenance.,7.1
139,convenient location with good access to relevant sites; relaxing stqy,8
140,"Cozy room, comfy bed, nice friendly and helpful staff, near the station. And quite covid-safe.",9
141,"If you just sleep over, without Wi-Fi, without making tea or coffee, it is tolerable for this money.",5
142,Excellent service,9.5
143,Exceptional,10
144,"It was a very cozy stay. The hotel was at the center of winter market, it was awesome",8
145,Exceptional,9.6
146,Superb,9.2
147,Rather uncomfortable.,2
148,Very good,8.3
149,Amazing apartment ! I sincerely recommend ! The owner is very helpful,10
150,comfortable,9.6
151,Exceptional,10
152,Exceptional,10
153,Stay away from it!,3
154,Poor,3.8
155,Exceptional,10
156,Prefect spot to stay.,9.6
157,As good as always.,10
158,Nice stay and very friendly staff.,9.6
159,Passable,5
160,Home,10
161,Good,7
162,Exceptional,10
163,Good,7
164,Super nice stay in Gent,10
165,Disappointing,4.2
166,Very disappointing,5.8
167,Exceptional,10
168,Unbeatable location!,8
169,Exceptional,10
170,Exceptional,10
171,only for a night stop,6
172,Very good,8.3
173,Superb,9
174,Exceptional,10
175,Would stay there again next time I am in Ghent.,8
176,Exceptional,9.6
177,Ok for business stay,7.1
178,Exceptional,10
179,Very good,8.3
180,Fabulous,8.8
181,Exceptional,9.6
182,Fair and good enough for a quick stay while travelling for work.,6
183,Great! The host is super helpful!,10
184,Superb,9.2
185,Lovely,9
186,Exceptional,10
187,Passable,5.4
188,Superb,9.2
189,Superb,9
190,Good,7.5
191,Exceptional,10
192,Good！,10
193,Exceptional,9.6
194,Fabulous,8.8
195,Superb,9
196,Exceptional,10
197,Very good,8
198,Great!,10
199,This is not a 4* hotel,1
200,More than 3 stars hotel,8
201,Super,10
202,Exceptional,10
203,"Poor accommodation, to avoid as much as possible. Acceptable restaurant.",4.2
204,Fabulous,8.8
205,Exceptional,10
206,Exceptional,10
207,Exceptional,10
208,Friendly staff and good location but pricey,6
209,Not ideal to drive to and park,7.1
210,"Great owner, flat and location.",10
211,Exceptional,9.6
212,Superb,9
213,"Good location, quiet and great for a short work stay.",8
214,Exceptional,10
215,Disappointing,4.6
216,Super,10
217,"Brilliant location, great breakfast.",7
218,Good B&B in a cool area,7.9
219,Great choice to stay near Mons!,10
220,Exceptional,10
221,Very good,8
222,Exceptional,10
223,Fine and well located,9.6
224,Exceptional,9.6
225,Superb,9
226,"A very pleasant, quiet and comfortable spot with nice flourishes. Recommended!",10
227,Disappointing,4.6
228,A very enjoyable stay and hotel close to the city centre,7
229,Exceptional,9.6
230,Not card-payment and unclear checking timing,5.8
231,Pleasant,6.3
232,Exceptional,9.6
233,friendly and convenient,7.9
234,A cosy hotel in a quiet town in Walonia.,9.6
235,Very good,8
236,Delightful stay in a lovely city.,10
237,Passable,5.4
238,Very good,8.3
239,great location,8.8
240,Exceptional,10
241,Good hotel,9.6
242,We didn't have a chance to go to the restaurant at the hotel but as far as we could see it looks really nice.,
243,Superb,9.2
244,"Great, recently renovated hotel",9
245,AVOID,3.8
246,Good,7.5
247,Very good,8
248,"Pleasant stay in the heart of the Jourdan quarter, spacious apartment with everything you need!!",9.5
249,Superb,9
250,Exceptional,10
251,Not for holiday but only for a short low budget stay.,8
252,"The owner Christine was extremely helpful & thoughtful, she had baked some Belgian biscuits and left",10
253,Strongly recommended,9
254,Exceptional,10
255,Exceptional,10
256,excellent,8
257,Superb,9
258,Guest room in Brussels,8.3
259,Good,7.1
260,Very good,8.3
261,Great,10
262,Exceptional,9.6
263,Exceptional,9.6
264,A one night business stay.,8
265,Exceptional,10
266,Superb,9
267,Very nice stay with friends at Villa Anna.,10
268,Very good,8
269,Very good,8
270,Exceptional,10
271,It is a real diy house a bath taps in the shower,6.3
272,Superb,9.2
273,Absolutely lovely Japanese room - minimalistic but lots of authentic details,8.8
274,good experience,8
275,Exceptional,9.6
276,A lovely gite in old farm buildings just outside Namur.,10
277,Exceptional,10
278,Superb,9
279,Very good,8
280,Exceptional,9.6
281,Disappointing,4.6
282,Exceptional,10
283,Excellent Apparthotel on the edge of the City Centre,10
284,Very good,8
285,Pleasant,6.7
286,Exceptional,10
287,I would advise this property to anybody!,9.6
288,Very good,8.3
289,Good location and good bread at breakfast,7.5
290,Lovely hotel in a lovely city.,10
291,Very good,8.5
292,Exceptional,10
293,Exceptional,10
294,Superb,9
295,Very good,8
296,"Yer, id stay here again if I had too.",8
297,Superb,9
298,Exceptional,10
299,"Nice hotel, value for money",7.1
300,Fabulous,8.8
301,Comfortable and well appointed room with a great breakfast.,10
302,Not very good.,3.3
